Id,Thickness,Depth,NoItem,Grade,Treatment
1,165,65,1,GL_17C,UnTreated
2,195,65,1,GL_17C,UnTreated
3,230,65,1,GL_17C,UnTreated
4,260,65,1,GL_17C,UnTreated
5,295,65,1,GL_17C,UnTreated
6,330,65,1,GL_17C,UnTreated
7,360,65,1,GL_17C,UnTreated
8,165,85,1,GL_17C,UnTreated
9,195,85,1,GL_17C,UnTreated
10,230,85,1,GL_17C,UnTreated
11,260,85,1,GL_17C,UnTreated
12,295,85,1,GL_17C,UnTreated
13,330,85,1,GL_17C,UnTreated
14,360,85,1,GL_17C,UnTreated
15,165,65,1,GL_17C,H2 LOSP Treated
16,195,65,1,GL_17C,H2 LOSP Treated
17,230,65,1,GL_17C,H2 LOSP Treated
18,260,65,1,GL_17C,H2 LOSP Treated
19,295,65,1,GL_17C,H2 LOSP Treated
20,330,65,1,GL_17C,H2 LOSP Treated
21,360,65,1,GL_17C,H2 LOSP Treated
22,165,85,1,GL_17C,H2 LOSP Treated
23,195,85,1,GL_17C,H2 LOSP Treated
24,230,85,1,GL_17C,H2 LOSP Treated
25,260,85,1,GL_17C,H2 LOSP Treated
26,295,85,1,GL_17C,H2 LOSP Treated
27,330,85,1,GL_17C,H2 LOSP Treated
28,360,85,1,GL_17C,H2 LOSP Treated
29,165,65,1,GL_17C,H3 LOSP Treated
30,195,65,1,GL_17C,H3 LOSP Treated
1,230,65,1,GL_17C,H3 LOSP Treated
2,260,65,1,GL_17C,H3 LOSP Treated
3,295,65,1,GL_17C,H3 LOSP Treated
4,330,65,1,GL_17C,H3 LOSP Treated
5,360,65,1,GL_17C,H3 LOSP Treated
6,165,85,1,GL_17C,H3 LOSP Treated
7,195,85,1,GL_17C,H3 LOSP Treated
8,230,85,1,GL_17C,H3 LOSP Treated
9,260,85,1,GL_17C,H3 LOSP Treated
10,295,85,1,GL_17C,H3 LOSP Treated
11,330,85,1,GL_17C,H3 LOSP Treated
12,360,85,1,GL_17C,H3 LOSP Treated
