Id,Thickness,Depth,NoItem,Grade,Treatment
1,150,35,1,LVL_13,H2S Treated
2,170,35,1,LVL_13,H2S Treated
3,150,45,1,LVL_13,H2S Treated
4,170,45,1,LVL_13,H2S Treated
5,200,45,1,LVL_13,H2S Treated
6,240,45,1,LVL_13,H2S Treated
7,300,45,1,LVL_13,H2S Treated
8,150,63,1,LVL_13,H2S Treated
9,170,63,1,LVL_13,H2S Treated
10,200,63,1,LVL_13,H2S Treated
11,240,63,1,LVL_13,H2S Treated
12,300,63,1,LVL_13,H2S Treated
13,150,75,1,LVL_13,H2S Treated
14,300,75,1,LVL_13,H2S Treated
15,150,35,1,LVL_13,H2 LOSP Treated
16,170,35,1,LVL_13,H2 LOSP Treated
17,150,45,1,LVL_13,H2 LOSP Treated
18,170,45,1,LVL_13,H2 LOSP Treated
19,200,45,1,LVL_13,H2 LOSP Treated
20,240,45,1,LVL_13,H2 LOSP Treated
21,300,45,1,LVL_13,H2 LOSP Treated
22,150,63,1,LVL_13,H2 LOSP Treated
23,170,63,1,LVL_13,H2 LOSP Treated
24,200,63,1,LVL_13,H2 LOSP Treated
25,240,63,1,LVL_13,H2 LOSP Treated
26,300,63,1,LVL_13,H2 LOSP Treated
27,150,75,1,LVL_13,H2 LOSP Treated
28,300,75,1,LVL_13,H2 LOSP Treated
29,150,35,1,LVL_13,H3 LOSP Treated
30,170,35,1,LVL_13,H3 LOSP Treated
31,150,45,1,LVL_13,H3 LOSP Treated
32,170,45,1,LVL_13,H3 LOSP Treated
33,200,45,1,LVL_13,H3 LOSP Treated
34,240,45,1,LVL_13,H3 LOSP Treated
35,300,45,1,LVL_13,H3 LOSP Treated
36,150,63,1,LVL_13,H3 LOSP Treated
37,170,63,1,LVL_13,H3 LOSP Treated
38,200,63,1,LVL_13,H3 LOSP Treated
39,240,63,1,LVL_13,H3 LOSP Treated
40,300,63,1,LVL_13,H3 LOSP Treated
41,150,75,1,LVL_13,H3 LOSP Treated
42,300,75,1,LVL_13,H3 LOSP Treated
